pmid,sentence,label
11174414,"Severe rash, including the Stevens-Johnson syndrome (SJS), is the major toxicity of nevirapine and is described in the package labeling with a prominent, boxed warning.",1
12645965,Significant systemic manifestations are rare.,0
17172571,"Chronic paroxysmal hemicrania (CPH) is a rare primary headache syndrome, which is classified along with cluster headache and short-lasting unilateral neuralgiform headache attacks with conjunctival injection and tearing (SUNCT) as a trigeminal autonomic cephalalgia.",0
16109609,"Of twenty other patients in our practice who received gemcitabine for refractory lymphoma without developing pericardial effusion, none had received prior direct radiation to the heart.",0
15779196,A 74-year old white man was undergoing treatment with palliative chemotherapy for Stage IV Prostate Adenocarcinoma with multiple osteoblastic metastases.,0
15866658,"RESULTS: Of the 18 patients treated with MMF, there were 11 men (61.1%) and seven women (38.8%), with an overall mean age of 55.5 years.",0
9063259,RESULTS: A 76-year-old woman developed X maltophilia endophthalmitis after cataract extraction.,0
7696938,Arrhythmias and cardiac arrest have been reported during amphotericin B administration but no effective technique has been described to prevent them.,1
9200403,Based on 2 case presentations - acute renal failure (ARF) due to myeloma kidney and due to angiotensin-converting enzyme inhibitor administration in the presence of transplant artery stenosis - new aspects in the pathogenesis of ARF are presented and discussed.,0
16298824,"Dyspnea, hypoxemia, and pleuritic chest pain occurred within 24 hours of rituximab administration, and there was no other apparent explanation.",1
8597009,Isoniazid inhibits the metabolism of phenytoin.,0
14585456,Patients who present to the Emergency Department after ingestion of excessive amounts of suflonylurea medications often have hypoglycemia refractory to dextrose administration.,0
8071504,Toxic optic neuropathy associated with ethambutol: implications for current therapy.,1
16393774,The role of IFN-beta in inflammatory musculoskeletal disease is unclear.,0
20386314,METHODS: Retrospective case series of six eyes of three patients that developed Acanthamoeba keratitis with Synergeyes hybrid contact lens wear.,0
9709726,Diphenhydramine is generally considered an innocuous drug with a minimal risk for abuse and untoward side effects.,0
8933322,"Methylene blue was administered (2 mg/kg intravenously), and the patient rapidly improved.",0
18037876,"Multiple syncopal episodes started to occur during thalidomide treatment, and a Holter electrocardiogram showed multiple abnormalities, with an episode of sustained ventricular tachycardia.",1
18602303,We present a patient with multiple intraoral ulcerations of the right buccal and alveolar mucosa that had previously been treated with nerve ablation therapy for trigeminal neuralgia.,0
16092915,"OBJECTIVE: To our knowledge, this is the first published case report of an adolescent girl with a mitochondrial disorder and depression who displayed both new-onset psychotic and increased mood symptoms during treatment with risperidone.",1
18397566,"Here, we report for the first time the induction of a subfulminant autoimmune hepatitis (AIH) after four months of a successful treatment of HCV-1b infection using peg-IFN and ribavirin, in a 48-year-old woman co-infected with HIV.",0
921427,An elderly man with procainamide hydrochloride-induced lupus syndrome had a circulating anticoagulant against factor XI and a biologic false-positive (BFP) test result for syphilis.,1
17983451,"To our knowledge, this is the first report of M. marinum occurring in a patient receiving infliximab.",0
8292513,Cerebrovascular complications of L-asparaginase therapy in children with leukemia: aphasia and other neuropsychological deficits.,1
19643637,The evaluation of this case report leads to a comprehensive review in the treatment choice for menorrhagia with the preceding history of a thrombotic event.,0
2219619,An encephalopathy and cardiomyopathy developed in a seventeen-year-old girl with chemotherapy-induced renal failure while receiving an intravesical aluminum infusion for hemorrhagic cystitis.,1
